zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
91724,8338,6095,4785,319,49,739,8,14,181,2243,1233,12,33,8,1,836,120,8600000US91724,31594.0,1412.0,8338,6018,331,82,747,9,850
44287,2507,2496,2465,8,4,4,1,1,13,11,7,1,1,0,0,1,1,8600000US44287,23678.0,1888.0,2507,2472,9,5,4,1,2
44023,4798,4773,4538,187,2,21,1,5,19,25,14,1,1,0,0,5,4,8600000US44023,54788.0,3843.0,4798,4552,188,3,21,1,10
06704,9884,8023,4876,2742,39,82,1,64,219,1861,692,101,15,3,5,938,107,8600000US06704,17962.0,1208.0,9884,5568,2843,54,85,6,1002
72076,14564,14238,11130,2643,69,178,10,10,198,326,169,12,7,0,1,109,28,8600000US72076,21303.0,1096.0,14564,11299,2655,76,178,11,119
55127,6293,6248,5976,42,14,182,0,3,31,45,24,2,4,0,0,13,2,8600000US55127,55416.0,5229.0,6293,6000,44,18,182,0,16
60016,23019,21519,17685,571,23,2850,1,16,373,1500,930,11,13,8,1,456,81,8600000US60016,31142.0,1097.0,23019,18615,582,36,2858,2,472
48198,15785,15489,10730,4198,81,175,3,29,273,296,154,17,6,1,0,92,26,8600000US48198,25292.0,977.0,15785,10884,4215,87,176,3,121
91737,7463,6298,4964,599,20,502,6,12,195,1165,628,5,12,11,2,429,78,8600000US91737,39872.0,2222.0,7463,5592,604,32,513,8,441
98023,16966,16226,12590,1180,112,1782,112,31,419,740,339,23,7,12,3,292,64,8600000US98023,33428.0,1394.0,16966,12929,1203,119,1794,115,323
84405,8664,8238,7893,117,38,98,16,4,72,426,196,6,13,4,1,176,30,8600000US84405,26496.0,1353.0,8664,8089,123,51,102,17,180
05156,3810,3796,3738,5,5,17,3,0,28,14,13,0,0,0,0,1,0,8600000US05156,25484.0,2495.0,3810,3751,5,5,17,3,1
10580,5887,5680,5264,74,2,295,1,9,35,207,142,1,3,3,0,48,10,8600000US10580,96920.0,5736.0,5887,5406,75,5,298,1,57
98366,11726,11380,10351,220,125,251,89,18,326,346,198,7,10,5,2,90,34,8600000US98366,29378.0,2145.0,11726,10549,227,135,256,91,108
93705,12175,8176,6196,1029,108,538,9,19,277,3999,1350,26,79,13,6,2303,222,8600000US93705,15644.0,895.0,12175,7546,1055,187,551,15,2322
