,zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
120,98373,6521,6331,5752,161,54,168,30,3,163,190,96,0,5,3,1,65,20,8600000US98373,31748.0,1864.0,6521,5848,161,59,171,31,68
121,77471,9065,5223,4409,700,18,36,2,4,54,3842,2194,12,19,2,0,1472,143,8600000US77471,21109.0,1324.0,9065,6603,712,37,38,2,1476
122,32448,3350,3311,2267,985,19,10,0,0,30,39,21,7,1,0,0,9,1,8600000US32448,18396.0,1711.0,3350,2288,992,20,10,0,9
123,11726,5475,4607,3900,535,12,74,3,11,72,868,414,34,3,1,0,321,95,8600000US11726,26478.0,1588.0,5475,4314,569,15,75,3,332
124,54456,2504,2489,2445,2,22,11,1,1,7,15,9,0,2,0,0,3,1,8600000US54456,25363.0,1397.0,2504,2454,2,24,11,1,4
125,75090,8002,7248,6006,1012,85,41,2,0,102,754,361,9,9,1,0,329,45,8600000US75090,17481.0,1079.0,8002,6367,1021,94,42,2,329
126,32174,17143,16878,16201,383,27,155,2,6,104,265,223,2,0,1,0,25,14,8600000US32174,32304.0,1843.0,17143,16424,385,27,156,2,31
127,69337,2676,2631,2516,7,72,16,3,1,16,45,20,0,2,0,1,18,4,8600000US69337,24732.0,3211.0,2676,2536,7,74,16,4,19
128,53120,3258,3223,3199,1,6,6,0,1,10,35,18,0,2,1,0,12,2,8600000US53120,32003.0,1908.0,3258,3217,1,8,7,0,13
129,92320,3042,2776,2680,19,9,24,4,2,38,266,145,0,6,0,0,101,14,8600000US92320,27919.0,1814.0,3042,2825,19,15,24,4,103
130,76205,13280,12253,10769,985,62,264,5,12,156,1027,402,5,6,1,0,558,55,8600000US76205,24728.0,1675.0,13280,11171,990,68,265,5,570
131,97048,2500,2476,2380,3,30,8,1,4,50,24,13,0,0,0,0,6,5,8600000US97048,24544.0,1821.0,2500,2393,3,30,8,1,10
132,90805,26252,16995,6182,7204,116,2359,468,53,613,9257,3045,121,132,24,12,5439,484,8600000US90805,18614.0,745.0,26252,9227,7325,248,2383,480,5492
133,27371,2903,2830,2368,407,7,25,0,0,23,73,33,3,0,0,0,32,5,8600000US27371,19417.0,1857.0,2903,2401,410,7,25,0,32
134,97523,2543,2462,2327,5,47,13,4,5,61,81,53,0,5,1,0,16,6,8600000US97523,19525.0,3188.0,2543,2380,5,52,14,4,21
135,32303,19090,18521,13963,4014,58,256,4,20,206,569,390,24,3,7,0,106,39,8600000US32303,26597.0,1450.0,19090,14353,4038,61,263,4,126
136,95948,3315,2536,2323,8,37,88,0,7,73,779,240,1,11,1,0,488,38,8600000US95948,22334.0,1496.0,3315,2563,9,48,89,0,495
137,39565,4753,4705,4483,155,19,18,0,2,28,48,25,1,2,0,0,17,3,8600000US39565,25034.0,1720.0,4753,4508,156,21,18,0,19
138,97220,10469,10049,8615,354,89,700,23,6,262,420,133,6,7,2,3,232,37,8600000US97220,24249.0,1139.0,10469,8748,360,96,702,26,238
139,48423,12817,12638,12183,201,40,62,2,5,145,179,108,1,3,2,0,50,15,8600000US48423,29545.0,2086.0,12817,12291,202,43,64,2,55
140,63137,8296,8247,4747,3399,15,21,0,5,60,49,28,11,1,0,0,5,4,8600000US63137,18249.0,1274.0,8296,4775,3410,16,21,0,10
141,94572,2814,2424,1547,419,17,337,10,6,88,390,171,2,18,1,1,168,29,8600000US94572,32078.0,4683.0,2814,1718,421,35,338,11,174
142,46528,7010,6338,6212,35,14,41,1,2,33,672,195,8,0,0,0,441,28,8600000US46528,24978.0,2118.0,7010,6407,43,14,41,1,443
143,2740,17780,16406,12733,949,112,111,7,1429,1065,1374,516,104,25,3,3,606,117,8600000US02740,24027.0,1357.0,17780,13249,1053,137,114,10,2035
144,55076,7070,6850,6633,83,22,54,3,5,50,220,99,9,4,0,0,97,11,8600000US55076,37338.0,2159.0,7070,6732,92,26,54,3,102
145,67501,10639,9914,9349,365,53,25,3,3,116,725,254,7,10,1,1,408,44,8600000US67501,18182.0,985.0,10639,9603,372,63,26,4,411
146,10312,20056,19111,18223,102,19,629,3,15,120,945,722,10,8,4,0,155,46,8600000US10312,38250.0,1544.0,20056,18945,112,27,633,3,170
147,11778,4014,3886,3792,16,3,33,1,2,39,128,96,1,1,1,0,21,8,8600000US11778,39896.0,4047.0,4014,3888,17,4,34,1,23
148,49721,6120,6087,5815,6,164,15,0,0,87,33,19,1,4,0,0,5,4,8600000US49721,24270.0,1141.0,6120,5834,7,168,15,0,5
149,84341,5086,4932,4640,28,20,197,13,2,32,154,74,0,0,0,0,68,12,8600000US84341,23014.0,1459.0,5086,4714,28,20,197,13,70
